0,0,0,0,-3.6,-1.2
-0.073624,0.011049,0.2714,0.51155,-3.1233,-0.85223
0.050857,-12.415,25.711,-14.626,-3.1079,-2.9013
0.1311,-18.305,37.645,-16.894,-3.1103,0.87665
0.21291,25.268,-53.504,26.325,-3.3051,-3.4817
1.311,30.118,-54.82,15.285,-3.5785,-11.072
1.7721,29.237,-52.803,14.205,-4.9135,-10.947
0.31064,28.949,-53.689,15.297,-3.4537,-10.901
7.8422,32.337,-53.344,12.024,-10.983,-10.531
12.473,50.431,-50.856,-9.0173,-15.067,-12.97
12.317,52.301,-57.99,-4.6408,-15.272,-11.779
12.548,54.17,-60.304,-4.0914,-15.683,-11.84
17.597,87.282,-92.04,-150.88,-19.209,-157.26
17.427,87.269,-89.739,-152.88,-21.7,-155.73
21.274,88.086,-89.603,-162.37,-21.515,-165.78
21.53,88.223,-89.17,-159.73,-19.794,-162.4
21.523,88.887,-89.587,-159.3,-18.456,-161.81
21.447,88.939,-89.697,-159.52,-18.308,-161.73
21.436,88.947,-89.705,-159.46,-18.295,-161.79
21.436,88.946,-89.704,-159.46,-18.294,-161.79
